,playerID,W,L,G,GS,CG,SV,SHO,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,IP,ERA,TimeFrame,Name,FinalYear,cluster_label
752,brocado01,52,48,626,42,0,9,0,2640,885,391,85,310,642,0.251063829787234,34.0,33,35.0,7,3793.0,175,436,41.0,34.0,71.0,15,0.0,,880.0,3.998863636363637,1992 - 2009,Doug Brocail,2009,0
753,embreal01,39,45,882,4,0,25,0,2322,744,395,95,293,691,0.2426614481409001,35.0,24,20.0,3,3318.0,217,429,31.0,41.0,58.0,16,0.0,,774.0,4.593023255813954,1992 - 2009,Alan Embree,2009,0
754,groombu01,31,32,786,15,0,27,0,2204,825,379,73,260,494,0.2723671178606801,36.0,20,21.0,4,3226.0,195,403,19.0,30.0,75.0,14,0.0,,734.6666666666666,4.642921960072596,1992 - 2005,Buddy Groom,2005,0
755,hitchst01,74,76,281,200,10,3,2,3857,1374,685,181,471,997,0.2626648824316574,25.0,61,42.0,11,5635.0,27,738,43.0,48.0,93.0,13,0.0,,1285.6666666666667,4.795177599170339,1992 - 2004,Sterling Hitchcock,2004,2
756,mahompa01,42,39,308,63,0,5,0,2127,738,431,116,392,452,0.2575916230366492,25.0,29,11.0,1,3163.0,74,461,18.0,31.0,67.0,11,0.0,,709.0,5.471086036671368,1992 - 2003,Pat Mahomes,2003,0
757,martipe02,219,100,476,409,46,3,17,8482,2221,919,239,760,3154,0.2075119125478837,30.0,62,141.0,6,11394.0,23,1006,74.0,63.0,148.0,18,1.0,BBWAA,2827.333333333333,2.925371374675784,1992 - 2009,Pedro Martinez,2009,6
758,nelsoje01,48,45,798,0,0,33,0,2354,633,297,55,428,829,0.211918312688316,59.0,36,64.0,3,3402.0,237,329,49.0,29.0,64.0,15,0.0,,784.6666666666666,3.4065420560747666,1992 - 2006,Jeff Nelson,2006,0
759,quantpa01,68,78,841,64,1,21,1,3767,1442,534,112,336,725,0.2768285659435592,68.0,5,45.0,8,5428.0,228,601,56.0,49.0,138.0,14,0.0,,1255.6666666666667,3.8274488983275816,1992 - 2005,Paul Quantrill,2005,3
760,reedst01,49,44,833,0,0,18,0,2612,811,351,107,285,630,0.2369266725094946,46.0,11,61.0,5,3662.0,197,384,35.0,26.0,79.0,14,0.0,,870.6666666666666,3.6282542113323126,1992 - 2005,Steve Reed,2005,0
761,reynosh01,114,96,305,278,20,0,7,5375,1935,814,191,419,1403,0.2647058823529412,33.0,38,41.0,8,7610.0,5,895,85.0,39.0,151.0,13,0.0,,1791.6666666666667,4.088930232558139,1992 - 2004,Shane Reynolds,2004,10
762,sprinru01,36,45,740,27,1,9,0,2569,824,430,121,349,775,0.2428529325081049,33.0,39,35.0,0,3716.0,168,458,23.0,29.0,41.0,18,0.0,,856.3333333333334,4.519268197742312,1992 - 2010,Russ Springer,2010,0
763,trombmi01,37,47,509,36,0,44,0,2387,800,396,114,319,672,0.2510197678067147,37.0,42,30.0,1,3471.0,195,427,30.0,27.0,58.0,11,0.0,,795.6666666666666,4.4792626728110605,1992 - 2002,Mike Trombley,2002,0
764,wakefti01,200,180,627,463,33,22,6,9679,3152,1582,418,1205,2156,0.2456550541656924,33.0,134,186.0,8,13939.0,78,1791,51.0,109.0,232.0,19,0.0,,3226.333333333333,4.413059200330612,1992 - 2011,Tim Wakefield,2011,1
765,whitema02,18,15,286,1,0,9,0,1218,455,236,52,157,259,0.2719665271966527,21.0,16,9.0,6,1792.0,89,256,13.0,17.0,38.0,11,0.0,,406.0,5.231527093596059,1992 - 2005,Matt Whiteside,2005,0
766,wickmbo01,63,61,835,28,1,267,1,3177,1051,420,80,432,785,0.2485808893093661,45.0,32,38.0,2,4586.0,511,469,42.0,28.0,130.0,15,0.0,,1059.0,3.5694050991501416,1992 - 2007,Bob Wickman,2007,3
767,willimi03,32,54,468,55,1,144,0,2305,764,380,89,343,584,0.2489410231345715,40.0,39,20.0,1,3355.0,292,416,33.0,23.0,59.0,12,0.0,,768.3333333333334,4.45119305856833,1992 - 2003,Mike Williams,2003,0
768,anderbr02,82,83,291,245,12,1,4,4641,1743,814,264,337,723,0.2730263157894737,28.0,22,23.0,28,6532.0,11,906,49.0,60.0,154.0,13,0.0,,1547.0,4.735617323852618,1993 - 2005,Brian Anderson,2005,2
769,bereja01,71,65,211,203,4,0,0,3333,1095,634,145,626,920,0.247289972899729,25.0,51,29.0,1,4987.0,2,694,47.0,44.0,64.0,11,0.0,,1111.0,5.135913591359136,1993 - 2003,Jason Bere,2003,3
770,daalom01,68,78,392,164,5,1,2,3596,1250,606,140,441,806,0.2579446966570367,37.0,10,34.0,13,5183.0,41,651,58.0,37.0,125.0,11,0.0,,1198.6666666666667,4.550055617352614,1993 - 2003,Omar Daal,2003,3
771,guarded01,46,61,908,25,0,187,0,2834,894,452,138,348,798,0.2398068669527897,39.0,25,16.0,2,4011.0,401,476,45.0,38.0,51.0,17,0.0,,944.6666666666666,4.306280875088214,1993 - 2009,Eddie Guardado,2009,3
772,hamptmi01,148,115,419,355,21,1,9,6805,2370,1024,200,901,1387,0.2583106267029972,49.0,75,49.0,13,9824.0,12,1157,107.0,69.0,289.0,16,0.0,,2268.333333333333,4.062894930198383,1993 - 2010,Mike Hampton,2010,5
773,hoffmtr01,61,75,1035,0,0,601,0,3268,846,347,100,307,1133,0.2056392805055906,58.0,49,9.0,0,4388.0,856,378,32.0,30.0,60.0,18,1.0,BBWAA,1089.3333333333333,2.8668910648714814,1993 - 2010,Trevor Hoffman,2010,3
774,jonesto02,58,63,982,1,0,319,0,3216,1072,473,93,443,868,0.25,62.0,43,38.0,1,4650.0,619,518,48.0,38.0,117.0,16,0.0,,1072.0,3.971082089552239,1993 - 2008,Todd Jones,2008,3
775,karsast01,32,39,357,40,1,41,0,1810,636,269,59,199,458,0.2600163532297628,38.0,24,23.0,0,2609.0,151,289,23.0,27.0,51.0,11,0.0,,603.3333333333334,4.012707182320442,1993 - 2006,Steve Karsay,2006,0
776,leskacu01,50,34,603,11,0,55,0,2138,678,345,80,362,641,0.2407670454545454,23.0,46,17.0,6,3111.0,244,365,27.0,23.0,69.0,11,0.0,,712.6666666666666,4.356875584658559,1993 - 2004,Curt Leskanic,2004,0
777,lopezal02,47,58,297,92,8,4,5,2524,938,462,112,343,558,0.2709416522241479,28.0,34,18.0,2,3713.0,63,511,25.0,23.0,88.0,11,0.0,,841.3333333333334,4.94215530903328,1993 - 2003,Albie Lopez,2003,0
778,micelda01,43,52,631,9,0,39,0,2102,684,349,93,310,632,0.2455132806891601,47.0,43,20.0,4,3069.0,225,383,34.0,29.0,49.0,14,0.0,,700.6666666666666,4.482873453853473,1993 - 2006,Dan Miceli,2006,0
779,oliveda02,118,98,766,229,11,7,4,5747,2037,960,216,720,1259,0.2616906474820143,45.0,60,96.0,15,8346.0,121,1045,74.0,65.0,199.0,20,0.0,,1915.6666666666667,4.510179223942926,1993 - 2013,Darren Oliver,2013,9
780,rueteki01,130,92,340,336,4,0,1,5754,2092,911,220,582,818,0.2666326790721386,41.0,24,25.0,0,8210.0,1,1004,93.0,60.0,218.0,13,0.0,,1918.0,4.274765380604797,1993 - 2005,Kirk Rueter,2005,-1
781,seleaa01,148,112,404,352,15,0,9,6459,2413,1102,225,798,1407,0.2719792605951307,39.0,54,112.0,2,9534.0,15,1208,53.0,90.0,197.0,15,0.0,,2153.0,4.606595448211798,1993 - 2007,Aaron Sele,2007,5
782,tavarju01,88,82,828,108,2,23,0,4213,1540,696,113,563,842,0.2676864244741874,72.0,43,96.0,11,6222.0,184,808,67.0,49.0,192.0,17,0.0,,1404.3333333333333,4.460479468312367,1993 - 2009,Julian Tavarez,2009,2
783,torresa01,44,58,497,64,3,57,1,2542,857,406,91,349,540,0.2521329802883201,43.0,33,51.0,4,3696.0,168,446,51.0,26.0,102.0,12,0.0,,847.3333333333334,4.312352478363493,1993 - 2008,Salomon Torres,2008,0
784,trachst01,143,159,420,417,20,0,7,7503,2587,1219,348,943,1591,0.256392467789891,63.0,64,52.0,16,10799.0,1,1327,96.0,94.0,193.0,16,0.0,,2501.0,4.386645341863255,1993 - 2008,Steve Trachsel,2008,7
785,wendetu01,36,33,552,6,0,33,0,1937,583,282,73,324,515,0.2313492063492063,55.0,17,28.0,5,2812.0,184,301,32.0,22.0,38.0,11,0.0,,645.6666666666666,3.930820856995354,1993 - 2004,Turk Wendell,2004,0
786,williwo02,132,116,424,330,10,0,2,6649,2217,1031,309,711,1480,0.2500563952176855,40.0,58,72.0,6,9475.0,34,1096,89.0,64.0,134.0,15,0.0,,2216.333333333333,4.186644608211761,1993 - 2007,Woody Williams,2007,5
787,worreti01,48,59,678,49,0,71,0,2921,963,429,107,366,758,0.2479402677651905,41.0,17,27.0,2,4230.0,242,488,42.0,39.0,55.0,14,0.0,,973.6666666666666,3.9654228004108174,1993 - 2006,Tim Worrell,2006,3
788,benitar01,40,47,762,0,0,289,0,2337,545,271,95,403,946,0.1891047883414295,32.0,18,16.0,5,3253.0,527,296,24.0,22.0,47.0,15,0.0,,779.0,3.1309370988446728,1994 - 2008,Armando Benitez,2008,0
789,bottari01,33,42,562,0,0,116,0,1886,561,279,71,316,575,0.2292603187576624,30.0,37,27.0,1,2730.0,301,298,28.0,19.0,37.0,12,0.0,,628.6666666666666,3.994167550371156,1994 - 2005,Ricky Bottalico,2005,0
790,carrahe01,44,50,647,10,0,19,0,2497,792,370,69,387,662,0.2408026755852843,33.0,85,33.0,7,3649.0,207,411,39.0,36.0,72.0,12,0.0,,832.3333333333334,4.000800961153384,1994 - 2007,Hector Carrasco,2007,0
791,helliri01,93,81,301,234,10,0,4,4579,1540,793,247,562,1058,0.2516751103121425,24.0,48,48.0,4,6564.0,22,842,37.0,62.0,103.0,12,0.0,,1526.3333333333333,4.675911771129067,1994 - 2006,Rick Helling,2006,2
792,jarvike01,34,49,187,118,4,1,3,2342,937,523,149,262,453,0.2857578530039646,23.0,21,23.0,0,3492.0,22,568,28.0,24.0,60.0,12,0.0,,780.6666666666666,6.029461998292058,1994 - 2006,Kevin Jarvis,2006,0
793,liebejo01,131,124,401,327,25,2,5,6594,2388,1043,285,422,1553,0.2658650634602538,52.0,30,49.0,13,9300.0,18,1158,93.0,76.0,164.0,14,0.0,,2198.0,4.270700636942675,1994 - 2008,Jon Lieber,2008,5
794,limajo01,89,102,348,235,9,5,1,4703,1783,917,267,393,980,0.2748997841504779,27.0,43,53.0,3,6790.0,40,972,64.0,58.0,115.0,13,0.0,,1567.6666666666667,5.264512013608335,1994 - 2006,Jose Lima,2006,2
795,parkch01,124,98,476,287,10,2,3,5979,1872,965,230,910,1715,0.238440962934658,35.0,75,138.0,14,8714.0,52,1046,99.0,56.0,171.0,17,0.0,,1993.0,4.357752132463623,1994 - 2010,Chan Ho Park,2010,9
796,shueypa01,45,28,476,0,0,23,0,1590,471,228,43,277,556,0.2285298398835516,32.0,36,14.0,1,2309.0,156,252,22.0,13.0,43.0,11,0.0,,530.0,3.871698113207547,1994 - 2007,Paul Shuey,2007,0
797,valdeis01,104,105,325,288,13,1,6,5482,1872,830,234,523,1173,0.2545553440304596,39.0,23,47.0,18,7760.0,12,892,68.0,47.0,143.0,12,0.0,,1827.3333333333333,4.087924115286392,1994 - 2005,Ismael Valdez,2005,10
798,whitega01,34,26,472,15,0,17,0,1712,556,286,96,141,454,0.2451499118165784,26.0,6,16.0,0,2385.0,122,293,20.0,23.0,29.0,11,0.0,,570.6666666666666,4.510514018691589,1994 - 2005,Gabe White,2005,0
799,whiteri01,42,54,613,18,0,16,0,2576,930,425,91,289,542,0.2652595550484883,49.0,30,34.0,4,3725.0,172,485,42.0,36.0,102.0,12,0.0,,858.6666666666666,4.454580745341615,1994 - 2007,Rick White,2007,0
800,adamste01,51,62,574,41,0,42,0,2608,890,403,63,380,691,0.2544311034877072,33.0,54,17.0,6,3801.0,201,448,38.0,20.0,98.0,11,0.0,,869.3333333333334,4.172162576687116,1995 - 2005,Terry Adams,2005,0
801,baldwja01,79,74,266,202,7,2,2,3968,1443,737,203,486,844,0.2666789872481981,19.0,57,52.0,8,5804.0,24,794,31.0,41.0,111.0,11,0.0,,1322.6666666666667,5.014868951612903,1995 - 2005,James Baldwin,2005,2
802,borowjo01,22,34,423,1,0,131,0,1363,450,211,53,177,372,0.2482073910645339,32.0,6,7.0,0,1968.0,268,222,23.0,9.0,25.0,12,0.0,,454.3333333333333,4.179750550256787,1995 - 2008,Joe Borowski,2008,0
803,byrdpa01,109,96,345,256,17,0,6,5091,1857,831,247,401,923,0.2672711571675302,23.0,35,62.0,7,7266.0,30,929,39.0,57.0,124.0,14,0.0,,1697.0,4.407189157336476,1995 - 2009,Paul Byrd,2009,10
804,chrisja01,27,26,528,0,0,16,0,1301,409,207,37,217,384,0.2391812865497076,34.0,27,15.0,2,1911.0,128,220,21.0,18.0,31.0,11,0.0,,433.6666666666667,4.295926210607225,1995 - 2005,Jason Christiansen,2005,0
805,estessh01,101,93,283,281,14,0,8,5035,1708,879,158,858,1210,0.2532997182263087,36.0,79,57.0,9,7403.0,0,950,102.0,49.0,241.0,13,0.0,,1678.3333333333333,4.713604766633566,1995 - 2008,Shawn Estes,2008,10
806,hawkila01,75,94,1042,98,2,127,0,4402,1607,702,163,456,983,0.2674321850557497,35.0,70,21.0,7,6323.0,373,763,43.0,50.0,144.0,21,0.0,,1467.3333333333333,4.305770104497956,1995 - 2015,LaTroy Hawkins,2015,2
807,hermadu01,73,78,357,180,4,56,2,3849,1285,600,160,460,874,0.2502921698480717,32.0,38,32.0,6,5489.0,107,675,69.0,40.0,101.0,12,0.0,,1283.0,4.208885424785659,1995 - 2006,Dustin Hermanson,2006,2
808,isrinja01,51,55,724,52,3,300,1,3023,901,408,85,437,830,0.2296126401630988,43.0,53,34.0,2,4322.0,499,450,35.0,32.0,81.0,16,0.0,,1007.6666666666666,3.644062189877605,1995 - 2012,Jason Isringhausen,2012,3
809,loaizes01,126,114,377,333,14,1,6,6297,2352,1084,259,604,1382,0.2719389524800555,40.0,32,75.0,9,9106.0,16,1170,73.0,79.0,182.0,14,0.0,,2099.0,4.647927584564078,1995 - 2008,Esteban Loaiza,2008,4
810,mecirji01,29,35,474,0,0,12,0,1581,482,221,41,225,450,0.2336403296170625,28.0,19,23.0,1,2263.0,126,240,23.0,19.0,48.0,11,0.0,,527.0,3.774193548387097,1995 - 2005,Jim Mecir,2005,0
811,myersmi01,25,24,883,0,0,14,0,1625,525,258,58,256,429,0.2441860465116279,33.0,10,43.0,2,2385.0,195,278,26.0,15.0,61.0,13,0.0,,541.6666666666666,4.286769230769231,1995 - 2007,Mike Myers,2007,0
812,nomohi01,123,109,323,318,16,0,9,5929,1768,932,251,908,1918,0.2296998830713265,31.0,109,38.0,17,8462.0,2,993,94.0,50.0,98.0,12,0.0,,1976.3333333333333,4.244223309158374,1995 - 2008,Hideo Nomo,2008,9
813,osunaan01,36,29,411,0,0,21,0,1466,432,200,44,209,501,0.2276080084299262,27.0,12,17.0,5,2085.0,140,217,26.0,20.0,27.0,11,0.0,,488.6666666666667,3.683492496589359,1995 - 2005,Antonio Osuna,2005,0
814,percitr01,35,43,703,1,0,358,0,2126,479,250,85,306,781,0.1838771593090211,25.0,32,27.0,2,2915.0,546,271,16.0,16.0,18.0,14,0.0,,708.6666666666666,3.174976481655692,1995 - 2009,Troy Percival,2009,0
815,pettian01,256,153,531,521,26,0,4,9948,3448,1418,288,1031,2448,0.2573902657509704,42.0,69,55.0,11,14074.0,3,1572,108.0,82.0,362.0,18,0.0,,3316.0,3.848612786489747,1995 - 2013,Andy Pettitte,2013,1
816,powelja04,36,23,512,0,0,22,0,1627,543,251,42,272,423,0.2502304147465438,30.0,20,21.0,1,2414.0,161,295,26.0,16.0,59.0,11,0.0,,542.3333333333334,4.165334972341733,1995 - 2005,Jay Powell,2005,0
817,radkebr01,148,139,378,377,37,0,10,7353,2643,1150,326,445,1467,0.2644057623049219,12.0,28,62.0,3,10244.0,0,1233,68.0,76.0,175.0,12,0.0,,2451.0,4.222766217870257,1995 - 2006,Brad Radke,2006,8
818,reyesal01,23,16,384,2,0,32,0,1286,340,182,53,195,422,0.2091020910209102,14.0,13,25.0,1,1817.0,150,190,17.0,16.0,23.0,13,0.0,,428.6666666666667,3.8211508553654734,1995 - 2008,Alberto Reyes,2008,0
819,riverma01,82,60,1115,10,0,652,0,3851,998,315,71,286,1173,0.2058156320890905,41.0,13,46.0,3,5103.0,952,340,26.0,25.0,88.0,19,1.0,,1283.6666666666667,2.208517268242015,1995 - 2013,Mariano Rivera,2013,3
820,rodrife01,38,26,563,1,0,11,0,1759,526,242,50,283,512,0.2301969365426696,19.0,32,32.0,7,2544.0,167,256,20.0,21.0,35.0,11,0.0,,586.3333333333334,3.714610574189881,1995 - 2006,Felix Rodriguez,2006,0
821,schmija01,130,96,323,314,20,0,9,5989,1846,878,184,792,1758,0.2356094447989789,35.0,93,52.0,11,8532.0,1,958,81.0,57.0,120.0,14,0.0,,1996.3333333333333,3.958256804140925,1995 - 2009,Jason Schmidt,2009,9
822,sturtta01,40,44,272,84,4,3,0,2391,886,460,110,333,480,0.2703692401586817,9.0,32,41.0,4,3531.0,48,490,15.0,28.0,89.0,12,0.0,,797.0,5.19447929736512,1995 - 2008,Tanyon Sturtze,2008,0
823,suppaje01,140,146,448,417,16,0,5,7628,2843,1328,337,871,1390,0.2715117944799923,58.0,89,94.0,6,11139.0,16,1451,112.0,80.0,273.0,17,0.0,,2542.6666666666665,4.700576822233876,1995 - 2012,Jeff Suppan,2012,7
824,urbinug01,44,49,583,21,0,237,0,2092,539,267,86,307,814,0.2048650703154694,30.0,29,6.0,6,2918.0,408,289,19.0,18.0,27.0,11,0.0,,697.3333333333334,3.445984703632887,1995 - 2005,Ugueth Urbina,2005,0
825,villoro01,61,65,717,93,2,8,0,3504,1115,614,136,637,925,0.2413942411777441,39.0,48,68.0,2,5193.0,168,665,54.0,42.0,102.0,15,0.0,,1168.0,4.731164383561644,1995 - 2009,Ron Villone,2009,3
826,wagnebi02,47,40,853,0,0,422,0,2709,601,232,82,300,1196,0.1815709969788519,26.0,43,33.0,1,3600.0,703,262,33.0,14.0,51.0,16,0.0,,903.0,2.3122923588039868,1995 - 2010,Billy Wagner,2010,0
827,wasdijo01,39,39,328,65,2,7,0,2380,874,465,135,252,527,0.2685925015365704,34.0,18,29.0,2,3475.0,78,494,15.0,39.0,36.0,12,0.0,,793.3333333333334,5.275210084033613,1995 - 2007,John Wasdin,2007,0
828,desseel01,52,64,441,140,2,5,1,3523,1300,579,145,348,693,0.2695417789757412,45.0,22,24.0,4,5062.0,64,628,59.0,35.0,112.0,14,0.0,,1174.3333333333333,4.437411297189895,1996 - 2010,Elmer Dessens,2010,3
829,graveda01,43,44,518,30,2,182,1,2425,857,364,96,271,429,0.261121267519805,48.0,27,26.0,2,3487.0,360,416,31.0,29.0,98.0,11,0.0,,808.3333333333334,4.052783505154639,1996 - 2006,Danny Graves,2006,0
830,hernali01,178,177,519,474,50,1,9,9567,3525,1572,362,1066,1976,0.2692483959670027,86.0,41,78.0,13,13816.0,17,1686,174.0,118.0,299.0,17,0.0,,3189.0,4.436500470366886,1996 - 2012,Livan Hernandez,2012,1
831,milletr02,18,17,694,5,0,11,0,1570,521,243,54,237,434,0.2491630798660928,28.0,22,43.0,0,2322.0,133,264,22.0,18.0,35.0,13,0.0,,523.3333333333334,4.178980891719745,1996 - 2011,Trever Miller,2011,0
832,moehlbr01,84,107,332,252,11,1,6,4702,1834,837,199,454,859,0.2805997552019584,37.0,25,36.0,3,6844.0,40,897,58.0,42.0,159.0,14,0.0,,1567.3333333333333,4.806252658443216,1996 - 2010,Brian Moehler,2010,2
833,witasja01,32,41,405,56,3,5,1,2194,775,377,97,364,645,0.261030650050522,29.0,40,35.0,3,3298.0,101,429,29.0,20.0,72.0,12,0.0,,731.3333333333334,4.6394712853236095,1996 - 2007,Jay Witasick,2007,0
834,wrighja01,97,130,719,248,6,2,3,6110,2168,1088,200,978,1189,0.2618990094225658,73.0,87,155.0,13,9038.0,133,1208,80.0,60.0,271.0,19,0.0,,2036.6666666666667,4.80785597381342,1996 - 2014,Jamey Wright,2014,4
835,yanes01,33,39,472,23,0,51,0,2086,754,397,105,270,553,0.2654929577464788,27.0,52,47.0,2,3096.0,224,426,27.0,29.0,55.0,11,0.0,,695.3333333333334,5.138542665388303,1996 - 2006,Esteban Yan,2006,0
836,alfonan01,35,37,592,0,0,129,0,1839,677,280,55,250,400,0.2690779014308426,45.0,13,22.0,2,2710.0,301,296,36.0,18.0,79.0,11,0.0,,613.0,4.1109298531810765,1997 - 2007,Antonio Alfonseca,2007,0
837,carpech01,144,94,350,332,33,0,15,6658,2205,927,220,627,1697,0.2487870924066343,23.0,51,85.0,3,9305.0,6,1021,75.0,48.0,223.0,15,0.0,,2219.333333333333,3.759237008110544,1997 - 2012,Chris Carpenter,2012,5
838,escobke01,101,91,411,202,10,59,4,4521,1461,695,137,611,1310,0.2442326980942828,28.0,54,47.0,1,6483.0,132,755,33.0,39.0,125.0,12,0.0,,1507.0,4.150630391506304,1997 - 2009,Kelvim Escobar,2009,2
839,eyresc01,28,30,617,32,0,4,0,1948,654,305,83,332,537,0.2513451191391238,27.0,41,15.0,0,2881.0,107,337,20.0,31.0,55.0,13,0.0,,649.3333333333334,4.22741273100616,1997 - 2009,Scott Eyre,2009,0
840,foulkke01,41,37,619,8,0,191,0,2360,652,291,94,194,718,0.2164674634794156,24.0,14,44.0,2,3201.0,406,300,25.0,18.0,44.0,11,0.0,,786.6666666666666,3.329237288135593,1997 - 2008,Keith Foulke,2008,0
841,johnsja02,56,100,255,221,6,0,1,4071,1521,753,181,498,810,0.2719957081545064,25.0,65,57.0,2,5996.0,8,831,27.0,46.0,141.0,11,0.0,,1357.0,4.994104642593958,1997 - 2008,Jason Johnson,2008,2
842,klinest02,34,39,796,1,0,39,0,2047,649,266,60,295,493,0.240727002967359,48.0,26,26.0,4,2940.0,231,293,33.0,19.0,82.0,11,0.0,,682.3333333333334,3.5085490962383976,1997 - 2007,Steve Kline,2007,0
843,lowede01,176,157,681,377,10,86,4,8014,2759,1195,217,794,1722,0.2561032210155017,67.0,55,78.0,13,11358.0,168,1333,100.0,56.0,315.0,17,0.0,,2671.333333333333,4.026079361118043,1997 - 2013,Derek Lowe,2013,6
844,mahayro01,27,12,514,3,0,4,0,1704,539,242,75,266,470,0.2403031654034775,22.0,28,10.0,1,2474.0,100,273,12.0,19.0,41.0,14,0.0,,568.0,3.834507042253521,1995 - 2010,Ron Mahay,2010,0
845,martito02,11,9,376,0,0,3,0,950,339,173,36,143,224,0.2629945694336695,19.0,9,13.0,1,1415.0,71,181,15.0,12.0,28.0,11,0.0,,316.6666666666667,4.916842105263157,1997 - 2007,Tom Martin,2007,0
846,millwke01,169,152,451,443,22,0,6,8161,2770,1243,296,843,2083,0.2534077394565913,46.0,67,74.0,4,11616.0,3,1357,105.0,53.0,211.0,16,0.0,,2720.333333333333,4.112363680921455,1997 - 2012,Kevin Millwood,2012,6
847,morrima01,121,92,307,276,23,4,8,5418,1867,799,175,509,1214,0.2562800274536719,36.0,30,74.0,9,7669.0,12,889,90.0,50.0,186.0,11,0.0,,1806.0,3.981727574750831,1997 - 2008,Matt Morris,2008,10
848,reyesde01,35,35,673,40,0,4,0,2180,724,340,61,400,642,0.2493112947658402,29.0,70,23.0,8,3243.0,120,384,45.0,25.0,71.0,15,0.0,,726.6666666666666,4.211009174311927,1997 - 2011,Dennys Reyes,2011,0
849,rincori01,21,24,565,0,0,21,0,1331,384,177,41,201,400,0.2239067055393586,32.0,14,11.0,4,1895.0,128,200,23.0,15.0,35.0,11,0.0,,443.6666666666667,3.59053343350864,1997 - 2008,Ricardo Rincon,2008,0
850,ruschgl01,67,99,342,220,11,4,3,4432,1732,827,191,460,1088,0.2809863724853991,27.0,19,40.0,5,6513.0,31,880,83.0,45.0,139.0,12,0.0,,1477.3333333333333,5.038131768953069,1997 - 2009,Glendon Rusch,2009,2
851,tomkobr01,100,103,397,266,13,2,2,5448,1898,939,255,582,1209,0.2583719030765042,52.0,63,37.0,3,7824.0,39,1011,82.0,56.0,130.0,14,0.0,,1816.0,4.65363436123348,1997 - 2011,Brett Tomko,2011,10
852,wrighja02,68,60,226,171,2,2,2,2918,1046,550,99,467,694,0.263874873864783,13.0,40,45.0,1,4350.0,18,599,25.0,36.0,95.0,11,0.0,,972.6666666666666,5.089102124742975,1997 - 2007,Jaret Wright,2007,3
853,bradfch01,36,28,561,0,0,11,0,1547,527,187,28,137,313,0.2540983606557377,39.0,4,29.0,3,2180.0,115,214,21.0,15.0,64.0,12,0.0,,515.6666666666666,3.263736263736264,1998 - 2009,Chad Bradford,2009,0
854,byrdati01,13,13,479,0,0,4,0,1019,308,164,46,203,326,0.2321024868123587,19.0,18,10.0,1,1525.0,56,182,19.0,17.0,23.0,12,0.0,,339.6666666666667,4.345436702649656,1998 - 2013,Tim Byrdak,2013,0
855,chenbr01,82,81,400,227,4,1,1,4596,1578,786,257,546,1140,0.2555879494655005,40.0,30,45.0,3,6619.0,56,849,45.0,53.0,92.0,17,0.0,,1532.0,4.617493472584856,1998 - 2015,Bruce Chen,2015,2
856,dempsry01,132,133,579,351,11,87,3,7161,2347,1154,267,1071,2075,0.246844762305427,47.0,80,91.0,3,10412.0,186,1250,100.0,64.0,209.0,16,0.0,,2387.0,4.351068286552158,1998 - 2013,Ryan Dempster,2013,8
857,hallaro01,203,105,416,390,67,1,20,8248,2646,1034,236,592,2117,0.2428859922893335,28.0,56,81.0,9,11287.0,6,1135,69.0,61.0,249.0,16,1.0,,2749.333333333333,3.3848205625606207,1998 - 2013,Roy Halladay,2013,6
858,howrybo01,45,52,769,0,0,66,0,2363,731,336,93,253,653,0.2362637362637362,42.0,24,29.0,1,3321.0,295,366,35.0,36.0,52.0,13,0.0,,787.6666666666666,3.839187473550572,1998 - 2010,Bob Howry,2010,0
859,loopebr01,72,65,670,97,1,103,1,3528,1242,542,132,373,669,0.260377358490566,39.0,21,40.0,6,5067.0,315,594,47.0,39.0,130.0,12,0.0,,1176.0,4.1479591836734695,1998 - 2009,Braden Looper,2009,3
860,miltoer01,89,85,271,270,10,0,4,4747,1665,878,267,453,1127,0.2596693699313787,14.0,29,35.0,0,6826.0,0,935,44.0,44.0,73.0,11,0.0,,1582.3333333333333,4.993890878449547,1998 - 2009,Eric Milton,2009,2
861,ortizru01,113,89,311,266,9,0,3,4984,1618,832,179,860,1192,0.2450772493183883,37.0,57,45.0,2,7316.0,13,903,78.0,55.0,138.0,12,0.0,,1661.3333333333333,4.507223113964687,1998 - 2010,Russ Ortiz,2010,10
862,pavanca01,108,107,302,284,17,0,8,5366,1971,873,200,425,1091,0.2686384080686929,41.0,26,84.0,16,7643.0,3,955,58.0,58.0,153.0,14,0.0,,1788.6666666666667,4.3926574729780095,1998 - 2012,Carl Pavano,2012,10
863,ponsosi01,91,113,298,278,29,1,4,5281,2004,983,223,609,1031,0.2750857927247769,19.0,53,45.0,3,7676.0,7,1051,39.0,47.0,203.0,12,0.0,,1760.3333333333333,5.025752698352585,1998 - 2009,Sidney Ponson,2009,10
864,speieju01,35,33,613,0,0,17,0,2025,612,308,108,231,588,0.2320819112627986,37.0,38,45.0,5,2883.0,190,324,26.0,28.0,29.0,12,0.0,,675.0,4.1066666666666665,1998 - 2009,Justin Speier,2009,0
865,vazquja01,165,160,450,443,28,0,8,8520,2784,1331,373,763,2536,0.2462845010615711,58.0,76,88.0,4,11935.0,5,1431,103.0,66.0,195.0,14,0.0,,2840.0,4.217957746478874,1998 - 2011,Javier Vazquez,2011,6
